track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,Unnamed: 26,in_shazam_charts,Genre
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,343876.41,3.44e-05,,Minor,62,55,80,15,0,37,7,170,G#,,99,Pop
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,347258.64,3.47e-05,,Minor,67,96,88,12,19,8,4,130,G,,0,Pop
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,347675.922,3.48e-05,,Major,79,58,62,11,0,11,23,93,G#,,3,Hip-Hop
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,348328.866,3.48e-05,,Major,63,84,82,70,8,9,7,129,A,,"1,170",Pop
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,348896.268,3.49e-05,,Major,67,26,71,37,0,11,4,100,F,,194,Pop
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,349530.9,3.5e-05,,Minor,78,52,82,18,0,15,7,150,F,,168,Pop
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,13,0,350839.656,3.51e-05,,Minor,48,50,80,40,0,37,20,96,F#,,0,Pop
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,1,0,3,0,352124.55,3.52e-05,,Major,73,26,54,30,0,34,32,174,A,,0,Rock
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,14,35,1,0,353345.586,3.53e-05,,Major,50,49,76,12,0,12,3,148,E,,0,Rock
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,362103.228,3.62e-05,,Minor,66,32,40,81,0,11,3,110,F#,,0,Romantic
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,3,0,5,0,364085.634,3.64e-05,,Major,68,29,73,0,0,7,7,148,C#,,0,Hip-Hop
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17,13,27,0,366634.224,3.67e-05,,Minor,80,33,70,22,0,9,4,120,G,,43,Hip-Hop
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,367471.734,3.67e-05,,Minor,81,74,71,14,0,56,4,122,F#,,211,Rock
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839,1,0,5,0,370439.034,3.7e-05,,Minor,56,56,47,76,0,8,36,72,A#,,0,Hip-Hop
Notice Me,SZA,1,2022,12,9,819,0,62019074,14,22,0,0,372114.444,3.72e-05,,Major,72,78,68,28,0,11,12,160,F,,0,Hip-Hop
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,1,5,6,0,382821.174,3.83e-05,,Major,77,25,62,34,0,23,3,122,A#,,0,
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,387198.24,3.87e-05,,Major,56,53,55,53,0,12,4,100,E,,31,
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,25,0,14,0,388287.438,3.88e-05,,Major,89,75,70,6,0,13,5,140,B,,0,Hip-Hop
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,8,0,29,0,388727.658,3.89e-05,,Major,92,62,86,11,0,24,24,117,C#,,0,Hip-Hop
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,390937.194,3.91e-05,,Major,77,75,58,52,0,23,25,144,,,"1,133",Pop
Gone Girl,SZA,1,2022,12,9,892,0,65362788,3,17,2,0,392176.728,3.92e-05,,Major,43,42,44,57,0,15,6,150,F,,0,Pop
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,5,0,392976.276,3.93e-05,,Minor,89,67,78,9,0,7,33,105,F,,73,Pop
SloMo,Chanel,1,2021,12,24,1211,0,65719930,31,0,19,0,394319.58,3.94e-05,,Minor,73,59,81,13,0,9,6,105,C#,,2,Pop
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,59,32,5,401415.018,4.01e-05,,Major,78,59,65,10,0,26,5,128,B,,88,Pop
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29,9,12,0,402422.46,4.02e-05,,Major,72,42,66,18,4,19,4,100,A,,52,Pop
F2F,SZA,1,2022,12,9,989,0,67540165,5,9,1,0,405240.99,4.05e-05,,Major,53,47,74,9,0,34,4,90,D,,0,Pop
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,0,0,409301.952,4.09e-05,,Minor,71,41,31,79,0,10,5,92,A#,,0,Pop
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,411701.778,4.12e-05,,Major,67,24,78,15,0,30,4,106,F,,0,Pop
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644,4,1,6,0,413373.864,4.13e-05,,Major,65,52,69,31,0,8,36,108,B,,0,Hip-Hop
Lovezinho,Treyce,1,2022,7,28,242,0,70069745,12,2,13,0,420418.47,4.2e-05,,Minor,82,61,59,30,0,12,4,128,E,,4,Romantic
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,41,5,0,420641.85,4.21e-05,,Major,78,5,30,21,0,13,5,120,A,,19,Pop
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,2,0,426042.834,4.26e-05,,Minor,80,85,74,62,0,8,9,135,F,,42,Pop
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0,4,23,0,426089.802,4.26e-05,,Major,41,65,88,0,0,26,5,145,G#,,0,Rock
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,426574.248,4.27e-05,,Minor,62,25,44,51,33,14,3,114,D,,0,Pop
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324,29,0,30,0,428539.944,4.29e-05,,Minor,76,79,81,18,0,6,34,98,G#,,0,Hip-Hop
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,7,2,30,1,429440.034,4.29e-05,,Minor,84,55,47,26,0,20,64,108,A,,11,
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,2,0,7,0,441082.098,4.41e-05,,Major,80,81,67,4,0,8,6,92,C#,,0,Hip-Hop
SOS,SZA,1,2022,12,9,827,0,73981293,6,18,1,0,443887.758,4.44e-05,,Minor,51,51,66,67,0,9,23,119,G,,0,Pop
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,447608.736,4.48e-05,,Minor,28,13,41,50,0,19,3,86,A,,0,Pop
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209,24,0,52,0,452857.254,4.53e-05,,Minor,63,45,64,34,0,9,8,180,G,,0,Pop
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,5,0,460604.376,4.61e-05,,Major,80,69,78,28,0,11,14,105,C#,,56,Pop
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876,7,0,7,0,460991.256,4.61e-05,,Minor,57,71,82,19,0,15,29,138,D#,,0,Romantic
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,10,0,461463.864,4.61e-05,,Minor,76,26,70,1,0,41,6,110,B,,64,Romantic
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,17,7,41,1,463399.446,4.63e-05,,Minor,77,69,58,39,0,26,5,117,F#,,29,
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,6,6,463857.666,4.64e-05,,Major,54,50,40,61,0,10,6,158,A#,,202,Romantic
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2,12,10,0,464026.626,4.64e-05,,Minor,60,40,89,9,0,60,6,127,E,,0,Pop
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16,15,5,0,464265.018,4.64e-05,,Minor,67,11,76,8,47,30,7,134,B,,1,Pop
