artist,collaborators,followers
Wham!,,
GODZZ__-,Zakaria,
Zakaria,GODZZ__-,
50 Cent,,
Tears For Fears,,
Arctic Monkeys,,
League of Legends,"Arcane, Imagine Dragons, JID",
Arcane,"Imagine Dragons, League of Legends, JID",
Kim Petras,Sam Smith,
Juan Cruz Toledo,Huilen Toledo,
Huilen Toledo,Juan Cruz Toledo,
Radiohead,,
Don Omar,Lucenzo,
Lucenzo,Don Omar,
The Goo Goo Dolls,,
Conan Gray,,
Farruko,,
Coolio,L.V.,
L.V.,Coolio,
Linkin Park,,
Alec Benjamin,,
Lord Huron,,
Daniel Caesar,"Giveon, Justin Bieber",
Mariah Carey,,
Avicii,,
Gotye,Kimbra,
Kimbra,Gotye,
a-ha,,
Maroon 5,Wiz Khalifa,
Wiz Khalifa,Maroon 5,
Guns N' Roses,,
The Police,,
Pnau,"Elton John, Dua Lipa",
Nate Dogg,Eminem,
24kgoldn,Iann Dior,
Iann Dior,24kgoldn,
Chris Molitor,,
DaBaby,Dua Lipa,
The Killers,,
Tom Odell,,
Ray Dalton,"Ryan Lewis, Macklemore",
Ryan Lewis,"Macklemore, Ray Dalton",
Macklemore,"Ryan Lewis, Ray Dalton",
Vance Joy,,
Hozier,,
Bradley Cooper,Lady Gaga,
Queen,,
The Chainsmokers,"Halsey, Coldplay",
Glass Animals,,
Kyla,"WizKid, Drake",
Tones and I,,
Edison Lighthouse,,
