artist,collaborators,followers
unxbected,Ayparia,
Tyler,"21 Savage, Kali Uchis, Pharrell Williams, The Weeknd, The Creator",
The Creator,"21 Savage, Tyler, Kali Uchis, Pharrell Williams, The Weeknd",
Tanna Leone,Kendrick Lamar,
Eric Church,Morgan Wallen,
Lana Del Rey,"The Weeknd, Taylor Swift",
21 Savage,"Travis Scott, Tyler, Pharrell Williams, The Weeknd, Gunna, Metro Boomin, Project Pat, Drake, The Creator",
Jhayco,"Quevedo, Feid, Sech",
Tainy,"Bad Bunny, Julieta Venegas",
Bad Bunny,"Julieta Venegas, J Balvin, Arcangel, Nio Garcia, Tony Dize, Rauw Alejandro, Eladio Carrion, Sech, Jhay Cortez, Daddy Yankee, Nengo Flow, Buscabulla, Gorillaz, The Marï¿½ï, Mora, Aventura, Grupo Frontera, Tainy, Chencho Corleone",
Amitabha Bhattacharya,"Sachin-Jigar, Arijit Singh",
Nicki Minaj,"Lil Baby, Aqua, Ice Spice",
Eminem,"Nate Dogg, Dr. Dre, Dina Rae, Dido",
Dr. Dre,"2Pac, Eminem, Snoop Dogg, Roger",
Aqua,"Nicki Minaj, Ice Spice",
Stray Kids,,
Chanel,,
Melanie Martinez,,
Jack Black,,
Taylour Paige,Kendrick Lamar,
Treyce,,
Coi Leray,"Metro Boomin, Anne-Marie, David Guetta",
Abhijay Sharma,Riar Saab,
Riar Saab,Abhijay Sharma,
SiM,,
Ludwig Goransson,Foudeqush,
Foudeqush,Ludwig Goransson,
MC Caverinha,KayBlack,
KayBlack,MC Caverinha,
Paulo Londra,"Bizarrap, Feid",
Camila Cabello,"Ed Sheeran, Shawn Mendes, Willow",
Willow,"THE ANXIETY, Camila Cabello, Tyler Cole",
ENHYPEN,,
Ghostface Killah,"Kendrick Lamar, Summer Walker",
Summer Walker,"Kendrick Lamar, Ghostface Killah",
TAEYANG,"Lisa, Jimin",
Lisa,TAEYANG,
Kanii,PR1ISVX,
PR1ISVX,Kanii,
John Legend,Metro Boomin,
Fuerza Regida,"Chino Pacas, Grupo Frontera, Peso Pluma, Natanael Cano",
Skrillex,"Fred again.., Flowdan",
Flowdan,"Skrillex, Fred again..",
Fred again..,"Skrillex, Flowdan",
BTS,"Charlie Puth, Snoop Dogg, Coldplay, Halsey, Jung Kook, Benny Blanco, FIFA Sound",
Veigh,"Bvga Beatz, Prod Malax, Supernova Ent",
Bvga Beatz,"Prod Malax, Veigh, Supernova Ent",
Supernova Ent,"Bvga Beatz, Prod Malax, Veigh",
Prod Malax,"Bvga Beatz, Veigh, Supernova Ent",
Marshmello,"Khalid, Manuel Turizo, Jonas Brothers, Juice WRLD",
Juice WRLD,Marshmello,
Kanye West,"Cardi B, XXXTENTACION, Alicia Keys, Lil Durk, Fivio Foreign",
Cardi B,"Kanye West, Lil Durk",
Sam Dew,"Kendrick Lamar, Baby Keem",
Baby Keem,"Kendrick Lamar, Sam Dew",
Gabito Ballesteros,"Natanael Cano, Peso Pluma, Junior H",
Swae Lee,"Offset, Metro Boomin, Lil Wayne, Post Malone, NAV, A Boogie Wit da Hoodie",
Lil Wayne,"Metro Boomin, Offset, The Weeknd, Swae Lee",
Styrx,"utku INC, Thezth",
utku INC,"Thezth, Styrx",
Thezth,"utku INC, Styrx",
SEVENTEEN,,
Selena Gomez,,
Nile Rodgers,"Daft Punk, Pharrell Williams, LE SSERAFIM",
LE SSERAFIM,Nile Rodgers,
Drake,"Travis Scott, Tems, 21 Savage, WizKid, DJ Khaled, Lil Baby, Project Pat, Kyla, Young Thug, Future",
MC Xenon,Os Gemeos da Putaria,
Os Gemeos da Putaria,MC Xenon,
A$AP Rocky,"Metro Boomin, Roisee",
Roisee,"A$AP Rocky, Metro Boomin",
Residente,Bizarrap,
Doechii,,
IU,Agust D,
Agust D,IU,
Burna Boy,,
(G)I-DLE,,
Sofia Carson,,
Arcangel,"Bizarrap, Lenny Tavï¿½ï¿½rez, Rich Music, Sech, Bad Bunny, Dalex, Dimelo Flow, Justin Quiles, De La Ghetto",
sped up 8282,,
Sam Smith,"Kim Petras, Calvin Harris, Jessie Reyez",
Calvin Harris,"Dua Lipa, Justin Timberlake, Jessie Reyez, Halsey, Pharrell Williams, Ellie Goulding, Rihanna, Young Thug, Sam Smith",
Jessie Reyez,"Calvin Harris, Sam Smith",
Justin Bieber,"Don Toliver, Daniel Caesar, The Kid Laroi, Giveon, Future",
J Balvin,"Nio Garcia, Ed Sheeran, Bad Bunny, Maria Becerra",
Alicia Keys,"Kanye West, Fivio Foreign",
Fivio Foreign,"Kanye West, Alicia Keys",
TOMORROW X TOGETHER,,
Myke Towers,"Feid, Quevedo, Sky Rompiendo, Jhay Cortez, Anuel Aa",
Sky Rompiendo,"Myke Towers, Feid",
Stromae,,
Kevin Gates,Juicy J,
Juicy J,Kevin Gates,
A Boogie Wit da Hoodie,"Metro Boomin, NAV, Swae Lee",
NAV,"Metro Boomin, Swae Lee, A Boogie Wit da Hoodie",
Phoebe Bridgers,SZA,
Travis Scott,"21 Savage, SZA, Metro Boomin, Drake, Young Thug",
dennis,MC Kevin o Chris,
MC Kevin o Chris,dennis,
Kaliii,Kaliii,
Sean Paul,"Dua Lipa, Feid",
Lil Yachty,,
Madonna,"Playboi Carti, The Weeknd",
Playboi Carti,"The Weeknd, Madonna",
Chino Pacas,Fuerza Regida,
j-hope,J. Cole,
J. Cole,"Lil Durk, j-hope",
Labrinth,Zendaya,
Ak4:20,"Pailita, Cris Mj",
Cris Mj,"NICKI NICOLE, Duki, Standly, Ak4:20, Stars Music Chile, Pailita",
Steve Aoki,"La Joaqui, Tini",
Tini,"Maria Becerra, Steve Aoki, La Joaqui, Anitta, L-Gante, Becky G",
La Joaqui,"Steve Aoki, Tini",
Ugly Dray,Tesla Jnr,
Tesla Jnr,Ugly Dray,
Anitta,"Becky G, Tini",
Becky G,"Karol G, Peso Pluma, Anitta, Tini",
Baby Tate,,
Big One,"FMK, Duki, Maria Becerra, Lit Killah, Tiago pzk, Rusherking, Ke personajes, Emilia",
Duki,"FMK, NICKI NICOLE, Maria Becerra, Standly, Lit Killah, Tiago pzk, Big One, Rusherking, Stars Music Chile, Quevedo, Emilia, De La Ghetto, Cris Mj",
Lit Killah,"FMK, NICKI NICOLE, Maria Becerra, Duki, Tiago pzk, Big One, Rusherking, Emilia",
FMK,"Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Ke personajes, Emilia",
Rusherking,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Emilia",
Emilia,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking",
Tiago pzk,"Bizarrap, FMK, NICKI NICOLE, Maria Becerra, Duki, Ozuna, Lit Killah, Big One, Rusherking, Trueno, Emilia",
Shakira,"Bizarrap, Rauw Alejandro, Ozuna, David Guetta, Karol G, Black Eyed Peas",
IVE,,
Kodak Black,"Kendrick Lamar, JVKE, NLE Choppa, Jimin, Muni Long",
Pharrell Williams,"Justin Timberlake, 21 Savage, Tyler, Calvin Harris, Halsey, Daft Punk, Nile Rodgers, The Creator",
Justin Timberlake,"Calvin Harris, Pharrell Williams, Halsey",
David Kushner,,
Rosalia,"Rauw Alejandro, Wisin & Yandel, The Weeknd",
Yahritza Y Su Esencia,Grupo Frontera,
BLESSD,Peso Pluma,
Nat King Cole,,
Sampha,Kendrick Lamar,
Dua Lipa,"Megan Thee Stallion, DaBaby, Calvin Harris, Pnau, Sean Paul, Young Thug, Elton John",
Mc Vitin Da Igrejinha,"DJ Win, MC Tairon",
MC Tairon,"Mc Vitin Da Igrejinha, DJ Win",
DJ Win,"Mc Vitin Da Igrejinha, MC Tairon",
Nessa Barrett,,
NLE Choppa,"JVKE, Kodak Black, Jimin, Muni Long",
Muni Long,"JVKE, Kodak Black, Jimin, NLE Choppa",
JVKE,"Kodak Black, Jimin, Muni Long, NLE Choppa",
Jimin,"JVKE, NLE Choppa, HA SUNG WOON, TAEYANG, Kodak Black, Muni Long",
Sech,"Feid, Mora, Arcangel, Lenny Tavï¿½ï¿½rez, Rich Music, Bad Bunny, Dalex, Justin Quiles, Dimelo Flow, Jhayco, De La Ghetto",
P!nk,,
Leo Santana,,
Mahmood,Blanco,
Blanco,Mahmood,
NMIXX,,
Elton John,"Dua Lipa, Ed Sheeran, Pnau, Britney Spears",
Mabel Matiz,Mert Demir,
Mert Demir,Mabel Matiz,
Jessi,,
Harry Styles,,
Raim Laode,,
Ozuna,"Feid, Shakira, Tiago pzk",
Israel & Rodolffo,"Ana Castela, Mari Fernandez",
Mari Fernandez,"Israel & Rodolffo, Gustavo Mioto",
teto,,
Fifty Fifty,,
Olivia Rodrigo,,
Shilpa Rao,"Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",
Caralisa Monteiro,"Shilpa Rao, Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",
Rosa Walton,Hallie Coggins,
Hallie Coggins,Rosa Walton,
Latto,Jung Kook,
Ke personajes,"Big One, FMK",
Mainstreet,Chefin,
Chefin,Mainstreet,
YOASOBI,,
Niall Horan,,
Charlie Puth,"Jung Kook, BTS",
Grupo Marca Registrada,"Grupo Frontera, Junior H",
The Kid Laroi,Justin Bieber,
YEAT,,
Gorillaz,Bad Bunny,
Jack Harlow,Lil Nas X,
Tyga,Doja Cat,
Doja Cat,"The Weeknd, SZA, Post Malone, Tyga",
Simone Mendes,,
Southstar,,
Stephanie Beatriz,"Encanto - Cast, Carolina Gaitan, Diane Guerrero, Rhenzy Feliz, Mauro Castillo, Adassa, Olga Merediz",
Diane Guerrero,"Carolina Gaitan, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Encanto - Cast",
Kenia OS,,
PinkPantheress,Ice Spice,
SALES,,
Kaifi Khalil,,
Luke Combs,,
Daddy Yankee,Bad Bunny,
Fran C,"Polima WestCoast, Pablito Pesadilla, Nickoog Clk",
Polima WestCoast,"Feid, Pablito Pesadilla, Pailita, Fran C, Nickoog Clk, Paloma Mami, De La Ghetto",
Nickoog Clk,"Polima WestCoast, Fran C, Pablito Pesadilla",
Pablito Pesadilla,"Polima WestCoast, Fran C, Nickoog Clk",
Sleepy hallow,347aidan,
347aidan,Sleepy hallow,
Cartel De Santa,La Kelly,
La Kelly,Cartel De Santa,
Victor Cibrian,,
Jain,,
Mae Stephens,,
Mahalini,,
Bellakath,,
DJ Khaled,"Lil Baby, Drake",
DJ Escobar,"MC MENOR SG, MC MENOR HR",
MC MENOR SG,"DJ Escobar, MC MENOR HR",
MC MENOR HR,"MC MENOR SG, DJ Escobar",
L7nnon,"DJ Biel do Furduncinho, Bianca",
DJ Biel do Furduncinho,"Bianca, L7nnon",
Bianca,"DJ Biel do Furduncinho, L7nnon",
Jhay Cortez,"Myke Towers, Bad Bunny, Anuel Aa",
David Guetta,"Bebe Rexha, Becky Hill, Shakira, Anne-Marie, Ella Henderson, Coi Leray, Black Eyed Peas",
Anne-Marie,"Coi Leray, David Guetta",
De La Ghetto,"Feid, Arcangel, Duki, Lenny Tavï¿½ï¿½rez, Rich Music, Sech, Polima WestCoast, Paloma Mami, Dalex, Justin Quiles, Dimelo Flow, Quevedo, Pailita",
Frank Sinatra,B. Swanson Quartet,
Anggi Marito,,
Gwen Stefani,Blake Shelton,
Blake Shelton,Gwen Stefani,
Hotel Ugly,,
