artist,collaborators,followers,total_songs_x,total_songs
Lil Uzi Vert,"Metro Boomin, sped up nightcore, ARIZONATEARS, Future",17229376,,3.0
James Arthur,,17168633,,2.0
OneRepublic,,17051514,,2.0
RM,Colde,16715278,,2.0
P!nk,,16677242,,1.0
The Neighbourhood,,16567456,,3.0
Junior H,"Oscar Maydon, Grupo Marca Registrada, El Chachito, Peso Pluma, Gabito Ballesteros, Eden MuÃ¯Â¿Â½Ã¯",16559759,,4.0
Cartel De Santa,La Kelly,16337839,,1.0
Khalid,"Billie Eilish, Marshmello",16169608,,2.0
Farruko,,15703071,,1.0
Stray Kids,,15640139,,2.0
Bizarrap,"Paulo Londra, Residente, Rauw Alejandro, Arcangel, Shakira, Tiago pzk, Peso Pluma, Quevedo, Villano Antillano",15401552,,6.0
Tyler,"21 Savage, Kali Uchis, Pharrell Williams, The Weeknd, The Creator",15240673,,5.0
The Creator,"21 Savage, Tyler, Kali Uchis, Pharrell Williams, The Weeknd",15240673,,5.0
Tulus,,15170798,,0.0
Meghan Trainor,,15056245,,1.0
Myke Towers,"Feid, Quevedo, Sky Rompiendo, Jhay Cortez, Anuel Aa",15024813,,2.0
Jung Kook,"Latto, Charlie Puth, FIFA Sound, BTS",14805904,,5.0
Becky G,"Karol G, Peso Pluma, Anitta, Tini",14649495,,3.0
Lil Wayne,"Metro Boomin, Offset, The Weeknd, Swae Lee",14642576,,2.0
Britney Spears,Elton John,14617639,,2.0
50 Cent,,14589491,,1.0
Christian Nodal,,14465306,,0.0
Agust D,IU,14462227,,2.0
Arcangel,"Bizarrap, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Sech, Bad Bunny, Dalex, Dimelo Flow, Justin Quiles, De La Ghetto",14291367,,1.0
Aerosmith,,14265447,,1.0
A$AP Rocky,"Metro Boomin, Roisee",14247301,,1.0
Frank Ocean,,14115572,,2.0
Justin Timberlake,"Calvin Harris, Pharrell Williams, Halsey",14107451,,1.0
Peso Pluma,"Bizarrap, Becky G, BLESSD, Fuerza Regida, Natanael Cano, Eslabon Armado, Gabito Ballesteros, Sog, Yng Lvcas, Grupo Frontera, Ryan Castro, Junior H, Luis R Conriquez",14103554,,13.0
Elton John,"Dua Lipa, Ed Sheeran, Pnau, Britney Spears",13341891,,3.0
Natanael Cano,"Gabito Ballesteros, Fuerza Regida, Peso Pluma",13149923,,2.0
Childish Gambino,,12819346,,0.0
Lewis Capaldi,,12546908,,3.0
Ellie Goulding,Calvin Harris,12415786,,1.0
Lil Nas X,Jack Harlow,12399563,,4.0
Panic! At The Disco,,12193618,,1.0
Mahalini,,12171352,,0.0
Jason Derulo,,12035097,,1.0
DaBaby,Dua Lipa,12000108,,1.0
Sech,"Feid, Mora, Arcangel, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Bad Bunny, Dalex, Justin Quiles, Dimelo Flow, Jhayco, De La Ghetto",11966346,,2.0
Anne-Marie,"Coi Leray, David Guetta",11909986,,1.0
Snoop Dogg,"Benny Blanco, Dr. Dre, BTS",11874857,,3.0
Dr. Dre,"2Pac, Eminem, Snoop Dogg, Roger",11819519,,5.0
Alicia Keys,"Kanye West, Fivio Foreign",11767534,,1.0
Carin Leon,Grupo Frontera,11716313,,2.0
Gorillaz,Bad Bunny,11701202,,1.0
