artist,collaborators,followers,total_songs_x,total_songs
Love Funk,"Mc Paiva ZS, MC Ryan SP",689596,,0.0
Suki Waterhouse,,687384,,1.0
dennis,MC Kevin o Chris,675279,,0.0
Hotel Ugly,,674447,,2.0
Gurinder Gill,"AP Dhillon, Intense",666823,,1.0
Gayle,,623864,,0.0
Cherish,ACRAZE,621762,,1.0
Beach Weather,,618108,,1.0
Gesaffelstein,The Weeknd,617807,,2.0
Nickoog Clk,"Polima WestCoast, Fran C, Pablito Pesadilla",602407,,0.0
Colde,RM,593005,,1.0
SALES,,577705,,1.0
Duncan Laurence,,569107,,1.0
Polima WestCoast,"Feid, Pablito Pesadilla, Pailita, Fran C, Nickoog Clk, Paloma Mami, De La Ghetto",562532,,1.0
MC Caverinha,KayBlack,558846,,0.0
Armani White,,545014,,1.0
070 Shake,RAYE,535590,,2.0
Andy Williams,,534468,,1.0
Muni Long,"JVKE, Kodak Black, Jimin, NLE Choppa",531016,,1.0
Perry Como,"The Fontane Sisters, Mitchell Ayres & His Orchestra",523203,,1.0
Kanii,PR1ISVX,521332,,1.0
Gabry Ponte,"LUM!X, Prezioso",521000,,1.0
Bing Crosby,"John Scott Trotter & His Orchestra, Ken Darby Singers",518843,,1.0
DJ Matt D,Mc Livinho,511007,,0.0
Big One,"FMK, Duki, Maria Becerra, Lit Killah, Tiago pzk, Rusherking, Ke personajes, Emilia",496759,,1.0
El Chachito,Junior H,489507,,0.0
Blxst,"Kendrick Lamar, Amanda Reifer",486962,,1.0
347aidan,Sleepy hallow,484436,,1.0
Giant Rooks,AnnenMayKantereit,483529,,0.0
Baby Tate,,481128,,1.0
Doechii,,471673,,1.0
Em Beihold,Stephen Sanchez,470542,,2.0
Libianca,,468792,,1.0
Dj Chris No Beat,"Ana Castela, Melody",464349,,1.0
ThxSoMch,,426894,,1.0
Kaliii,Kaliii,425355,,0.0
Migrantes,"Nico Valdi, LiL CaKe",420651,,0.0
Kimbra,Gotye,419541,,1.0
Joel Corry,"Jax Jones, Charli XCX, Saweetie",419344,,1.0
New West,,417436,,1.0
Vundabar,,416099,,1.0
Ali Sethi,Shae Gill,404183,,1.0
The Rare Occasions,,399543,,1.0
Brray,"Lyanno, Rauw Alejandro",392180,,1.0
Victor Cibrian,,392056,,0.0
Mert Demir,Mabel Matiz,389025,,1.0
Amaarae,"Kali Uchis, Moliy",388709,,1.0
SiM,,387590,,1.0
Brenda Lee,,383709,,1.0
Sam Ryder,,378046,,1.0
Rosa Linn,,374831,,2.0
James Hype,Miggy Dela Rosa,363057,,0.0
Yng Lvcas,Peso Pluma,355514,,0.0
Ovy On The Drums,"Quevedo, Karol G",341266,,1.0
Thezth,"utku INC, Styrx",339799,,0.0
Ludwig Goransson,Foudeqush,327377,,1.0
Mambo Kingz,"DJ Luian, Anuel Aa",321629,,2.0
The Ronettes,,302460,,1.0
MNEK,Jax Jones,289128,,1.0
Roger,"2Pac, Dr. Dre",270394,,1.0
Bradley Cooper,Lady Gaga,252676,,1.0
Villano Antillano,Bizarrap,245070,,1.0
Nicky Youre,Dazy,243781,,1.0
HA SUNG WOON,Jimin,241371,,1.0
Imanbek,BYOR,235247,,1.0
Pnau,"Elton John, Dua Lipa",233625,,1.0
Leah Kate,,226236,,1.0
Altamash Faridi,"Sachin-Jigar, Shadab Faridi, Amitabh Bhattacharya, Varun Jain",208341,,1.0
Sog,"Peso Pluma, Ryan Castro",203132,,1.0
Jack Black,,198665,,1.0
Sky Rompiendo,"Myke Towers, Feid",187962,,1.0
LUM!X,"Gabry Ponte, Prezioso",183191,,1.0
FIFA Sound,"Jung Kook, BTS",181318,,1.0
Arcane,"Imagine Dragons, League of Legends, JID",180336,,2.0
THE ANXIETY,"Tyler Cole, Willow",177593,,1.0
Alejo,"Robi, Feid",176884,,1.0
Emmy Meli,,174512,,0.0
Mae Stephens,,174094,,1.0
NEIKED,"Polo G, Mae Muller",173753,,1.0
sped up nightcore,"Lil Uzi Vert, ARIZONATEARS",170496,,1.0
LiL CaKe,"Migrantes, Nico Valdi",170199,,0.0
Blanco,Mahmood,155677,,0.0
Shakin' Stevens,,152931,,1.0
Beth Gibbons,Kendrick Lamar,149272,,1.0
MC Tairon,"Mc Vitin Da Igrejinha, DJ Win",148670,,1.0
Mae Muller,"Polo G, NEIKED",148213,,1.0
Riton,"Dopamine, Nightcrawlers, Mufasa & Hypeman",137188,,1.0
Nile Rodgers,"Daft Punk, Pharrell Williams, LE SSERAFIM",136824,,2.0
Yoko Ono,"The Harlem Community Choir, John Lennon, The Plastic Ono Band",135384,,1.0
Kumaar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro",135346,,2.0
Lucenzo,Don Omar,135342,,1.0
Pablito Pesadilla,"Polima WestCoast, Fran C, Nickoog Clk",132407,,0.0
Luude,Colin Hay,130746,,1.0
Maldy,Karol G,129156,,0.0
Southstar,,128483,,0.0
ACRAZE,Cherish,128053,,1.0
Prezioso,"LUM!X, Gabry Ponte",127532,,1.0
Colin Hay,Luude,115581,,1.0
Shadab Faridi,"Sachin-Jigar, Amitabh Bhattacharya, Varun Jain, Altamash Faridi",105820,,1.0
zzoilo,Aitana,99538,,0.0
Burl Ives,,99147,,1.0
Fran C,"Polima WestCoast, Pablito Pesadilla, Nickoog Clk",99062,,0.0
Buscabulla,Bad Bunny,94845,,1.0
Flowdan,"Skrillex, Fred again..",94582,,1.0
Dj Yo!,"Ckay, AX'EL",86395,,0.0
Musical Youth,,84668,,1.0
Encanto - Cast,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Olga Merediz",81219,,2.0
Robi,"Alejo, Feid",78984,,1.0
Supernova Ent,"Bvga Beatz, Prod Malax, Veigh",74995,,0.0
LF System,,74719,,1.0
Ray Dalton,"Ryan Lewis, Macklemore",74214,,1.0
MC MENOR HR,"MC MENOR SG, DJ Escobar",71761,,0.0
Beam,"Metro Boomin, Don Toliver, Toian, WizKid",71679,,0.0
Taiu,Milo j,71062,,1.0
Jnr Choi,,69421,,0.0
Chanel,,68318,,1.0
Carolina Gaitan,"Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Encanto - Cast",63619,,1.0
Caralisa Monteiro,"Shilpa Rao, Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",62489,,1.0
Eliza Rose,Interplanetary Criminal,62140,,1.0
Bvga Beatz,"Prod Malax, Veigh, Supernova Ent",59454,,0.0
Stephanie Beatriz,"Encanto - Cast, Carolina Gaitan, Diane Guerrero, Rhenzy Feliz, Mauro Castillo, Adassa, Olga Merediz",57483,,3.0
Nightcrawlers,"Dopamine, Riton, Mufasa & Hypeman",57089,,1.0
Darlene Love,,57008,,1.0
Riar Saab,Abhijay Sharma,56013,,1.0
Edison Lighthouse,,53975,,0.0
MC Xenon,Os Gemeos da Putaria,50917,,0.0
sped up 8282,,48968,,0.0
Bobby Helms,,45931,,1.0
Aqua,"Nicki Minaj, Ice Spice",44286,,1.0
Foudeqush,Ludwig Goransson,43475,,1.0
Varun Jain,"Sachin-Jigar, Shadab Faridi, Amitabh Bhattacharya, Altamash Faridi",42262,,1.0
Interplanetary Criminal,Eliza Rose,41681,,1.0
Mauro Castillo,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Adassa, Encanto - Cast",40848,,1.0
The Plastic Ono Band,"The Harlem Community Choir, John Lennon, Yoko Ono",38922,,1.0
Rosa Walton,Hallie Coggins,35380,,1.0
Anitta,"Becky G, Tini",35304,,1.0
Ryan Lewis,"Macklemore, Ray Dalton",34612,,1.0
Stars Music Chile,"NICKI NICOLE, Duki, Standly, Cris Mj",34564,,0.0
Amitabha Bhattacharya,"Sachin-Jigar, Arijit Singh",33546,,1.0
Tyler Cole,"THE ANXIETY, Willow",32772,,1.0
Tanna Leone,Kendrick Lamar,32137,,1.0
PR1ISVX,Kanii,31775,,1.0
Band Aid,,31674,,1.0
L.V.,Coolio,31364,,1.0
Nico Valdi,"Migrantes, LiL CaKe",31121,,0.0
Treyce,,28861,,1.0
BYOR,Imanbek,28519,,1.0
Kyla,"WizKid, Drake",25169,,1.0
Jessica Darrow,,24701,,1.0
Abhijay Sharma,Riar Saab,24479,,1.0
DJ 900,Mc Pedrinho,23838,,1.0
Os Gemeos da Putaria,MC Xenon,23245,,0.0
Bianca,"DJ Biel do Furduncinho, L7nnon",19583,,0.0
Moliy,"Kali Uchis, Amaarae",19469,,1.0
Dina Rae,Eminem,18790,,1.0
Mainstreet,Chefin,17814,,1.0
Roisee,"A$AP Rocky, Metro Boomin",17134,,1.0
Sam Dew,"Kendrick Lamar, Baby Keem",17129,,1.0
Dazy,Nicky Youre,16947,,1.0
Mufasa & Hypeman,"Dopamine, Riton, Nightcrawlers",16461,,1.0
Prod Malax,"Bvga Beatz, Veigh, Supernova Ent",15520,,0.0
DJ Biel do Furduncinho,"Bianca, L7nnon",14883,,0.0
The Fontane Sisters,"Perry Como, Mitchell Ayres & His Orchestra",14533,,1.0
Taylour Paige,Kendrick Lamar,13767,,1.0
Amanda Reifer,"Kendrick Lamar, Blxst",12733,,1.0
Miggy Dela Rosa,James Hype,11185,,0.0
Mc Vitin Da Igrejinha,"DJ Win, MC Tairon",11043,,1.0
Diane Guerrero,"Carolina Gaitan, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Encanto - Cast",11031,,2.0
MC MENOR SG,"DJ Escobar, MC MENOR HR",10290,,0.0
Adassa,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Encanto - Cast",8288,,1.0
ARIZONATEARS,"sped up nightcore, Lil Uzi Vert",8129,,1.0
La Kelly,Cartel De Santa,7966,,1.0
Toian,"Metro Boomin, Beam, Don Toliver, WizKid",5476,,0.0
Hallie Coggins,Rosa Walton,4599,,1.0
AX'EL,"Ckay, Dj Yo!",3924,,0.0
Styrx,"utku INC, Thezth",2737,,0.0
Olga Merediz,"Encanto - Cast, Stephanie Beatriz",2737,,1.0
Rhenzy Feliz,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Mauro Castillo, Adassa, Encanto - Cast",2493,,1.0
MÃ¯Â¿Â½Ã¯Â¿Â½ne,,2261,,0.0
Ayparia,unxbected,1945,,1.0
Mitchell Ayres & His Orchestra,"Perry Como, The Fontane Sisters",998,,1.0
Ugly Dray,Tesla Jnr,833,,1.0
B. Swanson Quartet,Frank Sinatra,794,,1.0
John Scott Trotter & His Orchestra,"Ken Darby Singers, Bing Crosby",651,,1.0
Ken Darby Singers,"John Scott Trotter & His Orchestra, Bing Crosby",587,,1.0
Huilen Toledo,Juan Cruz Toledo,478,,1.0
The Harlem Community Choir,"John Lennon, Yoko Ono, The Plastic Ono Band",463,,1.0
Chris Molitor,,439,,1.0
DJ Escobar,"MC MENOR SG, MC MENOR HR",156,,0.0
Intense,"AP Dhillon, Gurinder Gill",83,,1.0
Tesla Jnr,Ugly Dray,60,,1.0
utku INC,"Thezth, Styrx",33,,0.0
unxbected,Ayparia,28,,1.0
Juan Cruz Toledo,Huilen Toledo,27,,1.0
GODZZ__-,Zakaria,9,,0.0
DJ Win,"Mc Vitin Da Igrejinha, MC Tairon",2,,1.0
