artist_name,collaborators,followers,total_songs
Tyler,"21 Savage, Kali Uchis, Pharrell Williams, The Weeknd, The Creator",15240673,
The Creator,"21 Savage, Tyler, Kali Uchis, Pharrell Williams, The Weeknd",15240673,
Tulus,,15170798,
Meghan Trainor,,15056245,
Myke Towers,"Feid, Quevedo, Sky Rompiendo, Jhay Cortez, Anuel Aa",15024813,
Jung Kook,"Latto, Charlie Puth, FIFA Sound, BTS",14805904,
Becky G,"Karol G, Peso Pluma, Anitta, Tini",14649495,
Lil Wayne,"Metro Boomin, Offset, The Weeknd, Swae Lee",14642576,
Britney Spears,Elton John,14617639,
50 Cent,,14589491,
Christian Nodal,,14465306,
Agust D,IU,14462227,
Arcangel,"Bizarrap, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Sech, Bad Bunny, Dalex, Dimelo Flow, Justin Quiles, De La Ghetto",14291367,
Aerosmith,,14265447,
A$AP Rocky,"Metro Boomin, Roisee",14247301,
Frank Ocean,,14115572,
Justin Timberlake,"Calvin Harris, Pharrell Williams, Halsey",14107451,
Peso Pluma,"Bizarrap, Becky G, BLESSD, Fuerza Regida, Natanael Cano, Eslabon Armado, Gabito Ballesteros, Sog, Yng Lvcas, Grupo Frontera, Ryan Castro, Junior H, Luis R Conriquez",14103554,
Elton John,"Dua Lipa, Ed Sheeran, Pnau, Britney Spears",13341891,
Natanael Cano,"Gabito Ballesteros, Fuerza Regida, Peso Pluma",13149923,
Childish Gambino,,12819346,
Lewis Capaldi,,12546908,
Ellie Goulding,Calvin Harris,12415786,
Lil Nas X,Jack Harlow,12399563,
Panic! At The Disco,,12193618,
Mahalini,,12171352,
Jason Derulo,,12035097,
DaBaby,Dua Lipa,12000108,
Sech,"Feid, Mora, Arcangel, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Bad Bunny, Dalex, Justin Quiles, Dimelo Flow, Jhayco, De La Ghetto",11966346,
Anne-Marie,"Coi Leray, David Guetta",11909986,
Snoop Dogg,"Benny Blanco, Dr. Dre, BTS",11874857,
Dr. Dre,"2Pac, Eminem, Snoop Dogg, Roger",11819519,
Alicia Keys,"Kanye West, Fivio Foreign",11767534,
Carin Leon,Grupo Frontera,11716313,
Gorillaz,Bad Bunny,11701202,
Feid,"Nicky Jam, Ozuna, Sean Paul, Jhayco, Yandel, Alejo, Sech, Sky Rompiendo, Paloma Mami, Saiko, Young Miko, Pailita, De La Ghetto, Paulo Londra, Robi, Mora, Quevedo, Polima WestCoast, Myke Towers",11697710,
Don Omar,Lucenzo,11597840,
SEVENTEEN,,11569864,
DJ Khaled,"Lil Baby, Drake",11414059,
Cigarettes After Sex,,11362724,
