artist(s)_name,collaborators,followers,total_songs,artist_popularity
Migrantes,"Nico Valdi, LiL CaKe",420651,,66
Kimbra,Gotye,419541,,72
Joel Corry,"Jax Jones, Charli XCX, Saweetie",419344,,73
New West,,417436,,69
Vundabar,,416099,,65
Ali Sethi,Shae Gill,404183,,57
The Rare Occasions,,399543,,66
Brray,"Lyanno, Rauw Alejandro",392180,,73
Victor Cibrian,,392056,,67
Mert Demir,Mabel Matiz,389025,,69
Amaarae,"Kali Uchis, Moliy",388709,,69
SiM,,387590,,59
Brenda Lee,,383709,,58
Sam Ryder,,378046,,51
Rosa Linn,,374831,,68
James Hype,Miggy Dela Rosa,363057,,70
Yng Lvcas,Peso Pluma,355514,,71
Ovy On The Drums,"Quevedo, Karol G",341266,,78
Thezth,"utku INC, Styrx",339799,,56
Ludwig Goransson,Foudeqush,327377,,66
Mambo Kingz,"DJ Luian, Anuel Aa",321629,,77
The Ronettes,,302460,,63
MNEK,Jax Jones,289128,,69
Roger,"2Pac, Dr. Dre",270394,,54
Bradley Cooper,Lady Gaga,252676,,70
Villano Antillano,Bizarrap,245070,,68
Nicky Youre,Dazy,243781,,69
HA SUNG WOON,Jimin,241371,,55
Imanbek,BYOR,235247,,71
Pnau,"Elton John, Dua Lipa",233625,,72
Leah Kate,,226236,,57
Altamash Faridi,"Sachin-Jigar, Shadab Faridi, Amitabh Bhattacharya, Varun Jain",208341,,66
Sog,"Peso Pluma, Ryan Castro",203132,,45
Jack Black,,198665,,54
Sky Rompiendo,"Myke Towers, Feid",187962,,71
LUM!X,"Gabry Ponte, Prezioso",183191,,68
FIFA Sound,"Jung Kook, BTS",181318,,59
Arcane,"Imagine Dragons, League of Legends, JID",180336,,71
THE ANXIETY,"Tyler Cole, Willow",177593,,58
Alejo,"Robi, Feid",176884,,62
Emmy Meli,,174512,,51
Mae Stephens,,174094,,63
NEIKED,"Polo G, Mae Muller",173753,,59
sped up nightcore,"Lil Uzi Vert, ARIZONATEARS",170496,,71
LiL CaKe,"Migrantes, Nico Valdi",170199,,57
Blanco,Mahmood,155677,,58
Shakin' Stevens,,152931,,52
Beth Gibbons,Kendrick Lamar,149272,,50
MC Tairon,"Mc Vitin Da Igrejinha, DJ Win",148670,,57
Mae Muller,"Polo G, NEIKED",148213,,58
Riton,"Dopamine, Nightcrawlers, Mufasa & Hypeman",137188,,67
Nile Rodgers,"Daft Punk, Pharrell Williams, LE SSERAFIM",136824,,74
Yoko Ono,"The Harlem Community Choir, John Lennon, The Plastic Ono Band",135384,,50
Kumaar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro",135346,,73
Lucenzo,Don Omar,135342,,72
Pablito Pesadilla,"Polima WestCoast, Fran C, Nickoog Clk",132407,,50
Luude,Colin Hay,130746,,66
Maldy,Karol G,129156,,62
Southstar,,128483,,64
ACRAZE,Cherish,128053,,64
Prezioso,"LUM!X, Gabry Ponte",127532,,66
Colin Hay,Luude,115581,,58
Shadab Faridi,"Sachin-Jigar, Amitabh Bhattacharya, Varun Jain, Altamash Faridi",105820,,64
zzoilo,Aitana,99538,,61
Burl Ives,,99147,,48
Fran C,"Polima WestCoast, Pablito Pesadilla, Nickoog Clk",99062,,64
Buscabulla,Bad Bunny,94845,,61
Flowdan,"Skrillex, Fred again..",94582,,67
Dj Yo!,"Ckay, AX'EL",86395,,63
Musical Youth,,84668,,53
Encanto - Cast,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Olga Merediz",81219,,61
Robi,"Alejo, Feid",78984,,64
Supernova Ent,"Bvga Beatz, Prod Malax, Veigh",74995,,75
LF System,,74719,,65
Ray Dalton,"Ryan Lewis, Macklemore",74214,,74
MC MENOR HR,"MC MENOR SG, DJ Escobar",71761,,49
Beam,"Metro Boomin, Don Toliver, Toian, WizKid",71679,,60
Taiu,Milo j,71062,,72
Jnr Choi,,69421,,50
Chanel,,68318,,30
Carolina Gaitan,"Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Encanto - Cast",63619,,58
Caralisa Monteiro,"Shilpa Rao, Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",62489,,63
Eliza Rose,Interplanetary Criminal,62140,,61
Bvga Beatz,"Prod Malax, Veigh, Supernova Ent",59454,,71
Stephanie Beatriz,"Encanto - Cast, Carolina Gaitan, Diane Guerrero, Rhenzy Feliz, Mauro Castillo, Adassa, Olga Merediz",57483,,67
Nightcrawlers,"Dopamine, Riton, Mufasa & Hypeman",57089,,63
Darlene Love,,57008,,44
Riar Saab,Abhijay Sharma,56013,,53
Edison Lighthouse,,53975,,56
MC Xenon,Os Gemeos da Putaria,50917,,55
sped up 8282,,48968,,14
Bobby Helms,,45931,,51
Aqua,"Nicki Minaj, Ice Spice",44286,,46
Foudeqush,Ludwig Goransson,43475,,51
Varun Jain,"Sachin-Jigar, Shadab Faridi, Amitabh Bhattacharya, Altamash Faridi",42262,,68
Interplanetary Criminal,Eliza Rose,41681,,60
Mauro Castillo,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Adassa, Encanto - Cast",40848,,58
The Plastic Ono Band,"The Harlem Community Choir, John Lennon, Yoko Ono",38922,,21
Rosa Walton,Hallie Coggins,35380,,59
Anitta,"Becky G, Tini",35304,,92
Ryan Lewis,"Macklemore, Ray Dalton",34612,,75
Stars Music Chile,"NICKI NICOLE, Duki, Standly, Cris Mj",34564,,65
Amitabha Bhattacharya,"Sachin-Jigar, Arijit Singh",33546,,39
Tyler Cole,"THE ANXIETY, Willow",32772,,58
Tanna Leone,Kendrick Lamar,32137,,48
PR1ISVX,Kanii,31775,,58
Band Aid,,31674,,40
L.V.,Coolio,31364,,70
Nico Valdi,"Migrantes, LiL CaKe",31121,,59
Treyce,,28861,,36
BYOR,Imanbek,28519,,66
Kyla,"WizKid, Drake",25169,,71
Jessica Darrow,,24701,,55
Abhijay Sharma,Riar Saab,24479,,54
DJ 900,Mc Pedrinho,23838,,58
Os Gemeos da Putaria,MC Xenon,23245,,54
Bianca,"DJ Biel do Furduncinho, L7nnon",19583,,15
Moliy,"Kali Uchis, Amaarae",19469,,58
Dina Rae,Eminem,18790,,65
Mainstreet,Chefin,17814,,75
Roisee,"A$AP Rocky, Metro Boomin",17134,,60
Sam Dew,"Kendrick Lamar, Baby Keem",17129,,50
Dazy,Nicky Youre,16947,,58
Mufasa & Hypeman,"Dopamine, Riton, Nightcrawlers",16461,,61
Prod Malax,"Bvga Beatz, Veigh, Supernova Ent",15520,,57
DJ Biel do Furduncinho,"Bianca, L7nnon",14883,,56
The Fontane Sisters,"Perry Como, Mitchell Ayres & His Orchestra",14533,,44
Taylour Paige,Kendrick Lamar,13767,,47
Amanda Reifer,"Kendrick Lamar, Blxst",12733,,58
Miggy Dela Rosa,James Hype,11185,,64
Mc Vitin Da Igrejinha,"DJ Win, MC Tairon",11043,,50
Diane Guerrero,"Carolina Gaitan, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Encanto - Cast",11031,,59
MC MENOR SG,"DJ Escobar, MC MENOR HR",10290,,47
Adassa,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Encanto - Cast",8288,,58
ARIZONATEARS,"sped up nightcore, Lil Uzi Vert",8129,,66
La Kelly,Cartel De Santa,7966,,58
Toian,"Metro Boomin, Beam, Don Toliver, WizKid",5476,,50
Hallie Coggins,Rosa Walton,4599,,59
AX'EL,"Ckay, Dj Yo!",3924,,55
Styrx,"utku INC, Thezth",2737,,2
Olga Merediz,"Encanto - Cast, Stephanie Beatriz",2737,,54
Rhenzy Feliz,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Mauro Castillo, Adassa, Encanto - Cast",2493,,57
MÃ¯Â¿Â½Ã¯Â¿Â½ne,,2261,,100
Ayparia,unxbected,1945,,55
Mitchell Ayres & His Orchestra,"Perry Como, The Fontane Sisters",998,,49
Ugly Dray,Tesla Jnr,833,,10
B. Swanson Quartet,Frank Sinatra,794,,40
John Scott Trotter & His Orchestra,"Ken Darby Singers, Bing Crosby",651,,31
Ken Darby Singers,"John Scott Trotter & His Orchestra, Bing Crosby",587,,27
Huilen Toledo,Juan Cruz Toledo,478,,
The Harlem Community Choir,"John Lennon, Yoko Ono, The Plastic Ono Band",463,,20
Chris Molitor,,439,,3
DJ Escobar,"MC MENOR SG, MC MENOR HR",156,,0
Intense,"AP Dhillon, Gurinder Gill",83,,26
Tesla Jnr,Ugly Dray,60,,1
utku INC,"Thezth, Styrx",33,,0
unxbected,Ayparia,28,,12
Juan Cruz Toledo,Huilen Toledo,27,,0
GODZZ__-,Zakaria,9,,0
DJ Win,"Mc Vitin Da Igrejinha, MC Tairon",2,,0
