artist(s)_name,collaborators,followers,total_songs,artist_popularity
Junior H,"Oscar Maydon, Grupo Marca Registrada, El Chachito, Peso Pluma, Gabito Ballesteros, Eden MuÃ¯Â¿Â½Ã¯",16559759,,90
Cartel De Santa,La Kelly,16337839,,78
Khalid,"Billie Eilish, Marshmello",16169608,,85
Farruko,,15703071,,83
Stray Kids,,15640139,,85
Bizarrap,"Paulo Londra, Residente, Rauw Alejandro, Arcangel, Shakira, Tiago pzk, Peso Pluma, Quevedo, Villano Antillano",15401552,,82
Tyler,"21 Savage, Kali Uchis, Pharrell Williams, The Weeknd, The Creator",15240673,,86
The Creator,"21 Savage, Tyler, Kali Uchis, Pharrell Williams, The Weeknd",15240673,,86
Tulus,,15170798,,75
Meghan Trainor,,15056245,,79
Myke Towers,"Feid, Quevedo, Sky Rompiendo, Jhay Cortez, Anuel Aa",15024813,,89
Jung Kook,"Latto, Charlie Puth, FIFA Sound, BTS",14805904,,87
Becky G,"Karol G, Peso Pluma, Anitta, Tini",14649495,,79
Lil Wayne,"Metro Boomin, Offset, The Weeknd, Swae Lee",14642576,,86
Britney Spears,Elton John,14617639,,82
50 Cent,,14589491,,84
Christian Nodal,,14465306,,82
Agust D,IU,14462227,,78
Arcangel,"Bizarrap, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Sech, Bad Bunny, Dalex, Dimelo Flow, Justin Quiles, De La Ghetto",14291367,,84
Aerosmith,,14265447,,76
A$AP Rocky,"Metro Boomin, Roisee",14247301,,85
Frank Ocean,,14115572,,88
Justin Timberlake,"Calvin Harris, Pharrell Williams, Halsey",14107451,,82
Peso Pluma,"Bizarrap, Becky G, BLESSD, Fuerza Regida, Natanael Cano, Eslabon Armado, Gabito Ballesteros, Sog, Yng Lvcas, Grupo Frontera, Ryan Castro, Junior H, Luis R Conriquez",14103554,,93
Elton John,"Dua Lipa, Ed Sheeran, Pnau, Britney Spears",13341891,,83
Natanael Cano,"Gabito Ballesteros, Fuerza Regida, Peso Pluma",13149923,,89
Childish Gambino,,12819346,,82
Lewis Capaldi,,12546908,,80
Ellie Goulding,Calvin Harris,12415786,,80
Lil Nas X,Jack Harlow,12399563,,76
Panic! At The Disco,,12193618,,77
Mahalini,,12171352,,77
Jason Derulo,,12035097,,79
DaBaby,Dua Lipa,12000108,,79
Sech,"Feid, Mora, Arcangel, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Bad Bunny, Dalex, Justin Quiles, Dimelo Flow, Jhayco, De La Ghetto",11966346,,79
Anne-Marie,"Coi Leray, David Guetta",11909986,,79
Snoop Dogg,"Benny Blanco, Dr. Dre, BTS",11874857,,83
Dr. Dre,"2Pac, Eminem, Snoop Dogg, Roger",11819519,,81
Alicia Keys,"Kanye West, Fivio Foreign",11767534,,80
Carin Leon,Grupo Frontera,11716313,,87
Gorillaz,Bad Bunny,11701202,,80
Feid,"Nicky Jam, Ozuna, Sean Paul, Jhayco, Yandel, Alejo, Sech, Sky Rompiendo, Paloma Mami, Saiko, Young Miko, Pailita, De La Ghetto, Paulo Londra, Robi, Mora, Quevedo, Polima WestCoast, Myke Towers",11697710,,92
Don Omar,Lucenzo,11597840,,83
SEVENTEEN,,11569864,,80
DJ Khaled,"Lil Baby, Drake",11414059,,75
Cigarettes After Sex,,11362724,,85
Vishal Dadlani,"Shilpa Rao, Sukriti Kakar, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",11361506,,74
Polo G,"Mae Muller, NEIKED",11349491,,81
Wiz Khalifa,Maroon 5,11036794,,82
Playboi Carti,"The Weeknd, Madonna",10912846,,88
Luke Combs,,10668938,,87
