track_name,artist(s)_name,artist_count,released_year,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,final,,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,genre,in_shazam_charts,,,,,Day1,Day2,Day3,Day4,Day5,Day6
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1549057616,1550175730,1551404428,1552491732,1553469905,1554569296,1556842303,1558148673,,26792,32,69,113,695,0,Hip-Hop,458,,1.001462146,1.0007077,1.000630066,1118114,1228698,1087304,978173,1099391,1136503.5
Shake It Off,Taylor Swift,1,2014,1453661705,1454413167,1455076265,1455798506,1456439823,1457101014,1457779556,1460004048,,21335,13,328,70,"1,378",9,Hip-Hop,20,,1.000465679,1.000453978,1.000440526,751462,663098,722241,641317,661191,678542
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,1604236119,1605318558,1606212091,1607173615,1608019295,1608958428,1610804475,1613627663,,9161,5,240,98,468,3,Romantic,10,,1.001147355,1.000584031,1.000526191,1082439,893533,961524,845680,939133,923023
Yonaguni,Bad Bunny,1,2021,1421392549,1421726537,1422113012,1422475010,1422796658,1423133517,1423842333,1428509710,,9644,28,120,86,164,4,Spanish Hip-Hop,0,,1.000498067,1.000236758,1.000226119,333988,386475,361998,321648,336859,354408
Titi Me Pregunto,Bad Bunny,1,2022,1557268957,1558137964,1559141664,1559811060,1560396409,1560989769,1562201639,1571878421,,9037,42,124,133,139,14,Spanish Hip-Hop,166,,1.000776347,1.000380262,1.000375269,869007,1003700,669396,585349,593360,605935
Callaita,"Bad Bunny, Tainy",2,2019,1482670749,1483204956,1483721396,1484247450,1484701117,1485175260,1486167179,1490266880,,9539,15,162,116,355,7,Spanish Hip-Hop,0,,1.068000001,1.000319352,1.000305655,534207,516440,526054,453667,474143,495959
Blank Space,Taylor Swift,1,2014,1878742582,1879635267,1880374940,1881158257,1881898271,1882674793,1883485391,1893945238,,11434,53,154,123,410,2,Romantic,81,,1.000430557,1.000412627,1.000393382,892685,739673,783317,740014,776522,810598
LA CANCION,"J Balvin, Bad Bunny",2,2019,1770863288,1771920884,1773094420,1774184160,1775116946,1776142388,1778381002,1782340932,,6398,31,177,109,305,3,Spanish Hip-Hop,5,,1.00126038,1.000577676,1.000525755,1057596,1173536,1089740,932786,1025442,1119307
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,1871603304,1872553503,1873385522,1874299765,1875120505,1876017527,1877856442,1883765709,,8870,43,104,120,141,26,Spanish Hip-Hop,49,,1.000980223,1.000478381,1.000437892,950199,832019,914243,820740,897022,919447
Call Out My Name,The Weeknd,1,2018,1841551833,1842594784,1843537792,1844486531,1845386201,1846421397,1847487615,1850599337,,11087,6,151,107,801,1,Romantic,105,,1.000577451,1.000560964,1.000487762,1042951,943008,948739,899670,1035196,1066218
Save Your Tears,The Weeknd,1,2020,2062016507,2063279250,2064369863,2065506931,2066497908,2067594065,2068711330,2075490542,,12688,13,197,115,112,0,Romantic,200,,1.00054037,1.000530442,1.000479774,1262743,1090613,1137068,990977,1096157,1117265
Die For You,The Weeknd,1,2016,2361077414,2362607702,2364216248,2365729334,2367148484,2368657360,2370247628,2375031223,,2483,59,68,21,24,0,Romantic,259,,1.00067138,1.000637423,1.000599878,1530288,1608546,1513086,1419150,1508876,1590268
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,2023464381,2024178674,2024859925,2025564842,2026188671,2026857088,2028187964,2038327305,,11215,21,189,166,525,9,Spanish Hip-Hop,25,,1.000656621,1.000329889,1.000307978,714293,681251,704917,623829,668417,665438
HUMBLE.,Kendrick Lamar,1,2017,2298616678,2299739051,2300799410,2301829411,2302756889,2303833700,2304907635,2316662139,,33206,1,284,114,"1,481",0,Hip-Hop,5,,1.000466151,1.000467618,1.000402931,1122373,1060359,1030001,927478,1076811,1073935
The Hills,The Weeknd,1,2015,2369991770,2370971185,2372061087,2373054085,2374018901,2375081942,2376175238,2379603896,,25744,4,122,94,"1,992",0,Hip-Hop,18,,1.000460319,1.000447781,1.000406571,979415,1089902,992998,964816,1063041,1093296
Circles,Post Malone,1,2019,2548327819,2549451108,2550686613,2551812449,2552788034,2553873500,2555007033,2569243775,,19664,16,391,73,633,3,Hip-Hop,37,,1.000443849,1.000425208,1.000382311,1123289,1235505,1125836,975585,1085466,1133533
Starboy,"The Weeknd, Daft Punk",2,2016,3407044941,3408928585,3410730685,3412529684,3414237206,3416070599,3417924220,3432851320,,29536,79,281,137,"2,445",1,Hip-Hop,140,,1.000542618,1.000536985,1.000500368,1883644,1802100,1798999,1707522,1833393,1853621
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,3458429394,3460002981,3461728993,3463327362,3464773397,3466282113,3469547836,3479972212,,24094,78,372,117,843,4,Hip-Hop,69,,1.00094214,1.000435444,1.000417528,1573587,1726012,1598369,1446035,1508716,1622852
Blinding Lights,The Weeknd,1,2019,4393110112,4395164567,4396852786,4398701463,4400288620,4401999109,4403744736,4407836616,,43899,69,672,199,"3,421",20,Hip-Hop,,,1.000396553,1.000388722,1.000360824,2054455,1688219,1848677,1587157,1710489,1745627
