track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,Genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,streamss,in_shazam_charts
Love Language,SZA,1,2022,12,9,1127,0,110849052,16,63,8,0,598584.8808,5.99E-05,Pop,Minor,71,55,26,85,0,13,8,65,A,4,0
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,6,5,3,0,607156.5762,6.07E-05,Hip-Hop,Major,93,62,61,0,0,12,20,144,F,4,0
For Youth,BTS,1,2022,6,10,327,0,114546317,5,40,12,0,618550.1118,6.19E-05,K-pop,Major,63,29,51,43,0,25,4,117,D,4,0
Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,38,0,24,0,622791.6768,6.23E-05,Hip-Hop,Minor,70,26,56,14,83,11,5,150,F,4,0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,622968.6294,6.23E-05,Pop,Major,85,83,68,7,0,36,20,99,C#,4,"1,093"
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5,48,2,1,628206.8454,6.28E-05,Spanish Hip-Hop,Minor,70,76,79,26,0,11,7,142,G,4,9
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22,82,8,0,629638.866,6.30E-05,K-pop,Minor,68,81,82,53,0,9,13,94,B,4,9
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,15,0,632917.773,6.33E-05,Spanish Hip-Hop,Minor,65,71,56,4,0,15,20,87,F,4,6
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,51,0,635838.6978,6.36E-05,Hip-Hop,Major,44,36,41,50,0,38,5,98,F,4,20
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,639804.6738,6.40E-05,K-pop,Major,62,57,59,3,0,38,3,93,G,4,78
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,10,2,641575.3662,6.42E-05,Hip-Hop,Major,70,83,84,31,0,47,30,85,G,4,9
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,7,47,15,0,643886.9064,6.44E-05,Rock,Minor,80,62,51,2,0,9,8,121,G,4,0
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868,15,3,3,0,653820.4872,6.54E-05,Hip-Hop,Major,71,37,52,62,0,11,36,96,B,4,0
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,49,3,57,0,654421.9824,6.54E-05,Spanish Hip-Hop,Major,85,80,83,10,0,8,11,90,C#,4,0
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,4,0,8,0,658108.098,6.58E-05,Pop,Major,42,7,24,83,1,12,6,166,F#,4,0
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672,9,1,12,4,662923.8288,6.63E-05,Pop,Major,92,73,51,55,0,15,6,135,D,4,3
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,664861.0302,6.65E-05,Spanish Hip-Hop,Major,81,63,68,11,0,11,4,120,,4,184
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,7,0,664916.8554,6.65E-05,Hip-Hop,Minor,68,38,88,1,0,8,5,122,E,4,55
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717,22,0,23,0,665370.2718,6.65E-05,Rock,Minor,92,78,57,46,0,14,9,140,C#,4,0
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,54,6,124,1,666754.848,6.67E-05,Pop,Major,81,90,73,28,0,29,4,126,A,4,0
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13,0,32,1,671800.1328,6.72E-05,Rock,Major,63,31,35,93,0,29,3,110,A#,4,0
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104,3,7,13,0,681431.9616,6.81E-05,Hip-Hop,Major,78,51,43,69,0,14,9,134,G,4,1
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991,5,0,4,0,682797.5514,6.83E-05,Spanish Romantic,Minor,71,63,45,45,0,11,3,84,E,4,1
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,4,1,685943.7102,6.86E-05,Spanish Hip-Hop,Minor,78,90,84,31,0,7,4,133,A,4,1
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715,65,39,41,0,685949.661,6.86E-05,Hip-Hop,Minor,69,96,36,81,0,8,4,107,F#,4,0
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180,4,0,22,0,687469.572,6.87E-05,Rock,Minor,55,50,78,19,0,11,35,153,A#,4,0
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,688008.3516,6.88E-05,Pop,Minor,67,78,85,2,0,33,5,110,B,4,0
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,688864.716,6.89E-05,Pop,Minor,49,17,35,71,9,11,3,100,F#,4,0
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,17,0,24,0,698299.4232,6.98E-05,Spanish Hip-Hop,Minor,71,78,40,46,0,7,45,130,D#,4,30
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803,17,80,38,0,705541.3362,7.06E-05,Romantic,Minor,70,35,77,1,0,26,4,121,A#,4,0
die first,Nessa Barrett,1,2022,6,24,767,0,131746175,25,0,22,0,711429.345,7.11E-05,Pop,Minor,44,44,67,7,0,12,13,183,G#,4,0
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,722067.9444,7.22E-05,Pop,Major,71,61,74,7,0,10,4,92,C#,4,382
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22,18,15,1,722270.1258,7.22E-05,Pop,Minor,53,24,67,11,0,10,28,74,A#,4,0
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,29,26,17,0,723036.3048,7.23E-05,Spanish Hip-Hop,Major,82,67,77,8,0,12,5,97,C#,4,0
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,88,24,101,7,724981.266,7.25E-05,Pop,Major,64,25,89,0,0,15,9,122,G#,4,451
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,20,1,71,2,725190.2892,7.25E-05,Spanish Hip-Hop,Major,81,97,77,75,0,35,3,135,F,4,0
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421,2,74,14,0,732301.6734,7.32E-05,K-pop,Major,49,42,77,3,0,12,9,155,G#,5,2
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,135723538,72,90,141,0,732907.1052,7.33E-05,Pop,Major,59,60,94,24,0,10,4,114,,5,0
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,34,0,29,0,738053.1216,7.38E-05,Rock,Major,88,15,56,1,0,8,6,120,G,5,0
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549,10,6,7,1,738123.5646,7.38E-05,Rock,Minor,70,92,59,3,0,10,3,100,B,5,9
ZOOM,Jessi,1,2022,4,13,608,0,136996305,5,29,14,0,739780.047,7.40E-05,Rock,Major,87,46,60,1,0,13,16,100,F#,5,0
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925,26,2,30,0,740182.995,7.40E-05,Pop,Major,42,32,20,94,0,11,4,118,,5,0
Jhoome Jo Pathaan,Arijit Singh,1,2022,8,16,158,4,137123880,5,6,1,1,740468.952,7.40E-05,Indian Hip-Hop,Major,70,35,41,41,0,10,3,134,G,5,18
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433,0,0,2,0,747005.9382,7.47E-05,Spanish Pop,Major,83,56,82,10,0,9,5,92,F#,5,0
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,747995.3964,7.48E-05,Spanish Hip-Hop,Major,63,75,92,31,0,91,5,154,F#,5,29
Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812,27,2,31,0,751646.5848,7.52E-05,Spanish Hip-Hop,Minor,87,28,50,12,0,10,10,119,C#,5,0
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,30,0,754282.6056,7.54E-05,K-pop,Major,77,94,66,65,0,38,3,120,D,5,320
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11,101,0,0,755114.7024,7.55E-05,Indian Romantic ,Major,59,44,56,80,0,6,3,94,A,5,48
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,756021.4596,7.56E-05,Pop,Major,51,32,53,17,0,31,6,138,F,5,949
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018,21,79,2,0,757009.8972,7.57E-05,Indian Pop,Minor,77,65,80,6,0,15,4,116,G#,5,0
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,0,0,31,0,758323.8306,7.58E-05,Romantic,Minor,49,13,74,0,0,9,4,125,D#,5,
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,763461.1962,7.63E-05,K-pop,Major,80,89,83,31,0,8,4,125,B,5,826
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,26,9,17,0,765293.3946,7.65E-05,Hip-Hop,Major,73,25,61,1,0,32,7,104,C#,5,3
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,10,0,39,0,772952.4252,7.73E-05,Hip-Hop,Minor,79,86,52,66,0,9,7,154,D,5,0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,780651.81,7.81E-05,Hip-Hop,Major,83,69,44,15,0,10,33,143,D#,5,478
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61,6,48,0,780757.92,7.81E-05,Pop,Major,57,68,76,7,0,33,3,92,F,5,150
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130,11,6,12,0,790360.902,7.90E-05,Pop,Major,71,55,44,74,0,11,6,108,F#,5,15
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,20,0,790612.2234,7.91E-05,Spanish Hip-Hop,Major,82,53,67,34,0,9,8,94,B,5,1
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379,46,1,34,0,792662.6466,7.93E-05,Romantic,Major,53,31,31,92,0,28,3,134,,5,0
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,4,2,795367.8252,7.95E-05,Spanish Hip-Hop,Major,57,80,59,8,0,6,5,182,A,5,37
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,57,4,48,0,796710.4434,7.97E-05,Pop,Minor,66,47,40,72,0,11,3,107,B,5,0
Talk,YEAT,1,2022,9,2,920,0,148461629,10,1,8,0,801692.7966,8.02E-05,Hip-Hop,Minor,70,26,76,8,0,54,23,140,E,5,0
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,11,58,5,0,801734.9382,8.02E-05,Hip-Hop,Major,61,92,91,0,0,26,3,142,G,5,21
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,32,18,39,2,808802.5068,8.09E-05,Spanish Hip-Hop,Major,64,30,77,46,0,38,6,95,,5,0
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965,35,0,3,0,812705.211,8.13E-05,Pop,Major,83,41,65,0,10,11,8,158,B,5,0
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295,15,40,21,1,825391.593,8.25E-05,K-pop,Major,79,60,68,7,0,26,4,100,,5,15
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879,26,1,19,0,827500.7466,8.28E-05,Pop,Minor,80,24,65,2,0,9,4,104,D,5,0
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,828208.8594,8.28E-05,Spanish Hip-Hop,Minor,92,55,70,18,0,15,7,107,F#,5,176
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8,57,76,2,828653.3712,8.29E-05,Spanish Hip-Hop,Major,59,63,89,18,0,80,9,154,F#,5,49
Satranga,Arijit Singh,1,2023,5,16,2020,0,154356956,77,10,119,0,833527.5624,8.34E-05,Indian Romantic,Major,66,24,58,17,0,19,5,145,A,5,40
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,13,27,8,0,835908.5034,8.36E-05,Pop,Major,72,54,71,26,0,10,4,120,E,5,0
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153,22,7,15,0,836261.0262,8.36E-05,Rock,Minor,91,23,55,1,0,7,32,131,G#,5,0
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938,13,87,17,0,840531.2652,8.41E-05,Rock,Major,67,22,59,76,1,15,16,78,A,5,46
MORE,j-hope,1,2022,7,1,565,0,155795783,6,52,11,0,841297.2282,8.41E-05,K-pop,Major,78,31,72,1,0,11,4,97,D,5,0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,844228.5696,8.44E-05,Pop,Major,70,86,81,25,0,25,5,133,F,5,37
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624,27,0,28,13,844228.5696,8.44E-05,Pop,Major,66,74,84,25,0,21,4,133,F,5,0
Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,4,2,50,0,845955.1764,8.46E-05,Pop,Minor,73,31,45,85,24,11,3,90,E,5,0
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,156898322,4,5,12,0,847250.9388,8.47E-05,Hip-Hop,Major,52,32,83,24,0,17,43,87,G#,5,51
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,848117.898,8.48E-05,Pop,Major,71,67,60,19,0,12,3,98,G#,5,429
RUMBATON,Daddy Yankee,1,2022,3,25,1264,0,157990698,20,4,52,0,853149.7692,8.53E-05,Spanish Hip-Hop,Minor,69,90,91,6,0,35,4,95,D#,5,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717,16,11,18,0,864192.8718,8.64E-05,Romantic,Minor,84,61,42,31,0,9,9,140,B,5,0
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341,19,0,15,0,868564.8414,8.69E-05,Hip-Hop,Major,81,68,58,83,0,11,34,77,B,5,0
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,21,2,871889.346,8.72E-05,Spanish Hip-Hop,Major,85,53,68,40,0,9,4,132,D,5,26
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,12,2,879590.205,8.80E-05,Hip-Hop,Major,93,47,47,33,0,10,36,96,D,5,33
Blind,SZA,1,2022,12,9,1484,0,163284000,22,51,12,0,881733.6,8.82E-05,Hip-Hop,Minor,46,60,28,91,0,21,4,114,A,5,0
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,81,27,66,9,894157.7418,8.94E-05,Pop,Major,90,96,73,62,0,9,4,116,G,6,444
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418,24,47,74,0,902212.6572,9.02E-05,Spanish Romantic,Major,42,47,36,76,0,9,5,94,,6,0
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4,71,16,1,909622.4562,9.10E-05,K-pop,Minor,59,56,82,12,0,12,6,132,,6,9
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877,9,20,7,0,920234.9358,9.20E-05,Hip-Hop,Major,84,33,36,2,0,39,59,158,A,6,0
Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584,14,116,9,0,921831.7536,9.22E-05,K-pop,Minor,73,65,91,4,0,48,18,136,E,6,11
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,51,1,50,0,921957.363,9.22E-05,Hip-Hop,Minor,72,18,46,7,0,28,8,130,E,6,0
ALIEN SUPERSTAR,Beyonce,1,2022,7,29,2688,0,171788484,39,47,36,0,927657.8136,9.28E-05,Hip-Hop,Minor,55,46,64,0,0,17,10,122,A#,6,0
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,59,3,933259.8924,9.33E-05,Pop,Major,50,37,90,0,0,12,5,170,D,6,486
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,4,72,5,0,937587.7116,9.38E-05,K-pop,Major,62,32,76,0,0,39,4,120,G,6,5
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135,20,10,33,0,937991.529,9.38E-05,Hip-Hop,Minor,85,41,43,39,0,12,21,96,A#,6,0
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,43,0,945528.2982,9.46E-05,Rock,Minor,82,54,44,6,0,33,7,142,A#,6,182
WANDA,Quevedo,1,2023,1,20,888,22,175399345,11,24,7,1,947156.463,9.47E-05,Spanish Hip-Hop,Minor,72,96,63,25,0,21,7,176,E,6,7
Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912,86,14,80,0,952964.5248,9.53E-05,Romantic,Major,57,50,85,5,0,16,4,123,D,6,37
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,4,5,8,0,958521.1464,9.59E-05,Romantic,Major,48,55,84,43,0,15,12,158,G,6,0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,959799.5964,9.60E-05,Pop,Major,60,23,91,0,0,12,3,128,G,6,810
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385,14,0,11,0,963966.879,9.64E-05,Spanish Hip-Hop,Major,79,48,84,13,0,21,23,82,A#,6,0
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,178660459,32,3,65,0,964766.4786,9.65E-05,Pop,Major,51,94,34,73,0,10,5,175,G#,6,0
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,0,180577478,108,56,30,0,975118.3812,9.75E-05,Romantic,Major,63,93,88,1,0,12,4,93,F,6,0
The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,1,6,11,0,979465.986,9.79E-05,Romantic,Major,57,55,74,22,0,8,4,96,F,6,0
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132,2,4,6,0,981888.1128,9.82E-05,Rock,Minor,65,36,47,31,0,12,10,85,F,6,0
DARARI,Treasure,1,2022,2,15,328,0,182978249,10,21,7,0,988082.5446,9.88E-05,Hip-Hop,Major,72,55,64,49,0,7,4,85,,6,9
295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246,4,106,0,0,989675.5284,9.90E-05,Indian Hip-Hop,Minor,68,54,76,21,0,11,20,90,B,6,7
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,992013.6636,9.92E-05,Hip-Hop,Major,92,66,58,19,0,8,24,141,C#,6,946
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753,12,1,11,0,995267.2662,9.95E-05,Hip-Hop,Minor,44,38,77,9,0,9,20,108,F#,6,8
Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613,11,6,25,0,997415.7102,9.97E-05,Rock,Major,37,27,56,8,0,13,3,150,E,6,1
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,998062.7166,9.98E-05,Romantic,Major,70,31,44,84,0,9,39,138,D#,6,1
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,20,38,12,0,998660.5992,9.99E-05,Romantic,Major,59,56,63,12,0,6,36,141,C#,6,0
GIVENCHY,Duki,1,2022,7,20,625,4,185236961,13,18,12,0,1000279.589,0.000100028,Hip-Hop,Major,61,38,62,14,0,23,40,103,G#,6,0
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26,6,19,0,1000299.326,0.00010003,Romantic,Major,72,40,47,71,0,13,4,96,D,6,5
Prohibidox,Feid,1,2022,9,13,1473,12,185392587,25,36,25,1,1001119.97,0.000100112,Spanish Hip-Hop,Minor,65,52,80,5,0,6,25,180,C#,6,0
Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548,11,0,10,0,1001206.159,0.000100121,Hip-Hop,Major,60,47,62,3,0,38,4,160,D,6,0
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869,23,1,15,0,1001974.693,0.000100197,Rock,Major,54,45,79,1,0,17,5,154,G#,6,0
Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310,9,6,13,0,1004963.274,0.000100496,Romantic,Major,34,39,16,97,0,12,5,177,,6,2
Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835,6,3,15,0,1011635.109,0.000101164,Romantic,Major,48,15,31,80,22,12,4,110,,6,0
Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102,15,1,23,0,1013596.751,0.00010136,Romantic,Minor,71,90,81,31,2,13,3,114,E,6,0
Cinema,Harry Styles,1,2022,5,20,2171,0,189236868,18,1,28,0,1021879.087,0.000102188,Hip-Hop,Minor,83,90,64,35,5,9,4,106,A,6,0
Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,14,77,15,1,1023171.043,0.000102317,K-pop,Minor,77,78,91,14,0,33,12,120,D#,6,2
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21,4,13,0,1028650.941,0.000102865,Hip-Hop,Minor,94,71,61,12,0,53,42,121,F#,6,4
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045,73,45,119,0,1029375.243,0.000102938,Hip-Hop,Minor,82,76,70,16,0,8,5,100,B,6,0
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339,21,0,31,0,1031299.231,0.00010313,Rock,Major,68,41,55,16,0,10,12,143,C#,6,0
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656,24,8,17,0,1033201.742,0.00010332,Hip-Hop,Minor,75,45,63,6,0,35,12,122,E,6,1
Sticky,Drake,1,2022,6,17,2814,0,191448892,38,105,25,0,1033824.017,0.000103382,Rock,Minor,88,8,49,9,0,9,14,137,A#,6,2
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381,22,2,65,1,1036116.257,0.000103612,Hip-Hop,Major,77,74,74,47,0,34,8,135,G#,6,3
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895,42,0,24,0,1044597.033,0.00010446,Hip-Hop,Minor,65,11,58,0,0,12,9,150,E,6,0
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696,23,1,44,1,1052474.558,0.000105247,Hip-Hop,Minor,71,39,86,2,0,51,25,84,F,6,0
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622,12,22,12,0,1055789.759,0.000105579,Hip-Hop,Minor,49,24,66,19,0,18,29,88,G,7,2
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,1056113.764,0.000105611,Romantic,Major,78,39,53,30,0,11,6,107,D,7,675
Massive,Drake,1,2022,6,17,5263,0,195628667,66,89,61,0,1056394.802,0.000105639,Hip-Hop,Minor,51,5,68,12,2,15,6,125,E,7,11
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494,54,76,900,0,1057959.868,0.000105796,Hip-Hop,Major,73,88,67,20,0,32,5,151,G,7,0
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795,10,2,13,0,1067276.493,0.000106728,Hip-Hop,Major,78,83,75,41,0,27,8,98,F,7,1
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537,26,52,10,0,1071173.9,0.000107117,Hip-Hop,Major,77,20,70,1,0,16,5,130,G,7,95
Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884,7,1,15,0,1077774.574,0.000107777,Romantic,Major,65,88,72,36,14,20,3,183,F,7,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,1083494.993,0.000108349,Spanish Hip-Hop,Minor,85,81,67,26,0,12,5,133,F,7,139
Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871,18,77,61,0,1083568.703,0.000108357,Romantic,Major,53,50,79,0,0,8,3,143,,7,1
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,22,3,0,0,1085252.445,0.000108525,Hip-Hop,Major,52,68,69,13,0,33,8,94,C#,7,0
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,1088968.639,0.000108897,Romantic,Minor,55,30,78,24,0,12,8,150,D#,7,925
Static,Steve Lacy,1,2022,7,15,1613,0,202452860,21,15,13,0,1093245.444,0.000109325,Rock,Major,34,22,31,43,63,10,7,79,C#,7,0
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468,16,53,1,0,1097395.927,0.00010974,Rock,Major,53,51,70,49,0,14,3,140,F#,7,61
The Astronaut,Jin,1,2022,10,28,481,9,203436468,10,100,15,1,1098556.927,0.000109856,K-pop,Major,54,22,76,0,0,14,3,125,F,7,27
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270,8,67,66,0,1099873.458,0.000109987,Hip-Hop,Minor,39,45,55,73,0,9,21,80,G#,7,0
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15,26,30,6,1114557.997,0.000111456,Spanish Hip-Hop,Major,52,57,48,86,0,15,39,80,,7,0
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0,0,21,0,1117979.577,0.000111798,Romantic,Minor,69,36,90,1,10,15,4,130,B,7,0
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161,115,246,9,1139674.234,0.000113967,Romantic,Major,64,31,87,4,4,8,4,143,A,7,638
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,10,56,17,0,1141411.468,0.000114141,K-pop,Minor,74,65,67,46,0,36,4,138,G,7,0
