track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,Genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,streamss,in_shazam_charts
Worst Day,Future,1,2022,2,11,910,0,50746620,20,3,24,0,304479.72,3.04E-05,Hip-Hop,Major,65,60,60,11,0,10,40,89,C#,2,0
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,11,0,305085.744,3.05E-05,Spanish Hip-Hop,Minor,62,56,66,18,0,12,5,178,C#,2,1
Far,SZA,1,2022,12,9,680,0,51641685,2,15,1,0,309850.11,3.10E-05,Hip-Hop,Major,61,48,55,67,0,16,8,116,D,2,0
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,8,2,311914.674,3.12E-05,Hip-Hop,Minor,43,14,74,1,0,19,8,84,A,2,4
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,313765.596,3.14E-05,Spanish Pop,Major,56,63,87,39,0,11,5,168,F#,2,197
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,11,0,316337.976,3.16E-05,Pop,Major,73,22,86,31,0,12,4,106,G,2,78
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,2,0,4,0,321620.682,3.22E-05,Pop,Minor,66,29,65,23,0,8,7,92,E,2,0
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194,10,4,4,0,322375.164,3.22E-05,Pop,Major,83,32,82,14,0,12,4,105,D,2,0
Still Life,BIGBANG,1,2022,4,5,181,0,53909146,16,14,7,0,323454.876,3.23E-05,Pop,Major,68,24,58,44,0,6,3,118,G#,2,0
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1,8,6,0,323601.156,3.24E-05,Pop,Minor,27,10,49,62,0,49,5,78,A,2,0
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,3,0,2,0,323924.424,3.24E-05,Spanish Pop,Major,78,75,62,6,0,15,6,93,D,2,0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,1,0,325353.792,3.25E-05,Indian Romantic,Minor,76,96,72,32,0,9,4,110,G,2,52
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,325596.612,3.26E-05,Pop,Minor,77,84,89,17,0,43,5,130,C#,2,169
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594,42,51,32,0,328095.564,3.28E-05,Pop,Major,47,33,83,18,0,10,5,80,B,2,0
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17,3,3,0,329627.946,3.30E-05,Hip-Hop,Minor,90,74,54,16,0,13,28,115,F,2,0
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,8,1,335054.07,3.35E-05,Spanish Pop,Minor,75,79,63,33,0,15,4,128,A,2,74
Conceited,SZA,1,2022,12,9,899,0,56870689,2,14,2,0,341224.134,3.41E-05,Hip-Hop,Major,79,77,46,5,0,11,7,150,C#,2,0
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonce",2,2023,5,19,896,0,57089066,34,2,33,0,342534.396,3.43E-05,Hip-Hop,Major,78,20,70,1,0,16,4,126,C#,2,1
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,6,11,3,0,342866.748,3.43E-05,Hip-Hop,Major,47,33,68,24,0,22,38,81,G#,2,0
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,343876.41,3.44E-05,Spanish Pop,Minor,62,55,80,15,0,37,7,170,G#,2,99
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,347258.64,3.47E-05,Pop,Minor,67,96,88,12,19,8,4,130,G,2,0
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,347675.922,3.48E-05,Spanish Hip-Hop,Major,79,58,62,11,0,11,23,93,G#,2,3
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,348328.866,3.48E-05,Pop,Major,63,84,82,70,8,9,7,129,A,2,"1,170"
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,348896.268,3.49E-05,Spanish Pop,Major,67,26,71,37,0,11,4,100,F,2,194
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,349530.9,3.50E-05,K-pop,Minor,78,52,82,18,0,15,7,150,F,2,168
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,13,0,350839.656,3.51E-05,Pop,Minor,48,50,80,40,0,37,20,96,F#,2,0
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,1,0,3,0,352124.55,3.52E-05,Rock,Major,73,26,54,30,0,34,32,174,A,2,0
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,14,35,1,0,353345.586,3.53E-05,Rock,Major,50,49,76,12,0,12,3,148,E,2,0
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,362103.228,3.62E-05,Romantic,Minor,66,32,40,81,0,11,3,110,F#,2,0
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,3,0,5,0,364085.634,3.64E-05,Hip-Hop,Major,68,29,73,0,0,7,7,148,C#,2,0
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17,13,27,0,366634.224,3.67E-05,Hip-Hop,Minor,80,33,70,22,0,9,4,120,G,2,43
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,367471.734,3.67E-05,Spanish Rock,Minor,81,74,71,14,0,56,4,122,F#,2,211
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839,1,0,5,0,370439.034,3.70E-05,Hip-Hop,Minor,56,56,47,76,0,8,36,72,A#,2,0
Notice Me,SZA,1,2022,12,9,819,0,62019074,14,22,0,0,372114.444,3.72E-05,Hip-Hop,Major,72,78,68,28,0,11,12,160,F,2,0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,387198.24,3.87E-05,Indian Romantic,Major,56,53,55,53,0,12,4,100,E,2,31
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,25,0,14,0,388287.438,3.88E-05,Hip-Hop,Major,89,75,70,6,0,13,5,140,B,2,0
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,8,0,29,0,388727.658,3.89E-05,Hip-Hop,Major,92,62,86,11,0,24,24,117,C#,2,0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,390937.194,3.91E-05,Pop,Major,77,75,58,52,0,23,25,144,,2,"1,133"
Gone Girl,SZA,1,2022,12,9,892,0,65362788,3,17,2,0,392176.728,3.92E-05,Pop,Major,43,42,44,57,0,15,6,150,F,2,0
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,5,0,392976.276,3.93E-05,K-pop,Minor,89,67,78,9,0,7,33,105,F,2,73
SloMo,Chanel,1,2021,12,24,1211,0,65719930,31,0,19,0,394319.58,3.94E-05,Pop,Minor,73,59,81,13,0,9,6,105,C#,2,2
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29,9,12,0,402422.46,4.02E-05,Pop,Major,72,42,66,18,4,19,4,100,A,2,52
F2F,SZA,1,2022,12,9,989,0,67540165,5,9,1,0,405240.99,4.05E-05,Pop,Major,53,47,74,9,0,34,4,90,D,2,0
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,0,0,409301.952,4.09E-05,Pop,Minor,71,41,31,79,0,10,5,92,A#,2,0
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,411701.778,4.12E-05,Pop,Major,67,24,78,15,0,30,4,106,F,2,0
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644,4,1,6,0,413373.864,4.13E-05,Hip-Hop,Major,65,52,69,31,0,8,36,108,B,2,0
Lovezinho,Treyce,1,2022,7,28,242,0,70069745,12,2,13,0,420418.47,4.20E-05,Romantic,Minor,82,61,59,30,0,12,4,128,E,2,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,41,5,0,420641.85,4.21E-05,Pop,Major,78,5,30,21,0,13,5,120,A,2,19
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,2,0,426042.834,4.26E-05,Indian Pop,Minor,80,85,74,62,0,8,9,135,F,2,42
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0,4,23,0,426089.802,4.26E-05,Rock,Major,41,65,88,0,0,26,5,145,G#,2,0
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,426574.248,4.27E-05,Spanish Pop,Minor,62,25,44,51,33,14,3,114,D,2,0
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324,29,0,30,0,428539.944,4.29E-05,Hip-Hop,Minor,76,79,81,18,0,6,34,98,G#,2,0
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,2,0,7,0,441082.098,4.41E-05,Spanish Hip-Hop,Major,80,81,67,4,0,8,6,92,C#,2,0
SOS,SZA,1,2022,12,9,827,0,73981293,6,18,1,0,443887.758,4.44E-05,Pop,Minor,51,51,66,67,0,9,23,119,G,2,0
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,447608.736,4.48E-05,Pop,Minor,28,13,41,50,0,19,3,86,A,2,0
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209,24,0,52,0,452857.254,4.53E-05,Pop,Minor,63,45,64,34,0,9,8,180,G,3,0
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,5,0,460604.376,4.61E-05,K-pop,Major,80,69,78,28,0,11,14,105,C#,3,56
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876,7,0,7,0,460991.256,4.61E-05,Romantic,Minor,57,71,82,19,0,15,29,138,D#,3,0
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,10,0,461463.864,4.61E-05,K-pop,Minor,76,26,70,1,0,41,6,110,B,3,64
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,6,6,463857.666,4.64E-05,Spanish Romantic,Major,54,50,40,61,0,10,6,158,A#,3,202
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2,12,10,0,464026.626,4.64E-05,K-pop,Minor,60,40,89,9,0,60,6,127,E,3,0
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16,15,5,0,464265.018,4.64E-05,Pop,Minor,67,11,76,8,47,30,7,134,B,3,1
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948,2,2,6,0,468839.688,4.69E-05,Pop,Minor,33,51,59,76,0,44,6,80,F,3,2
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819,39,45,27,0,470938.914,4.71E-05,Hip-Hop,Minor,81,6,84,5,23,6,6,140,C#,3,1
Born Singer,BTS,1,2022,6,10,279,0,79095270,0,18,6,0,474571.62,4.75E-05,K-pop,Minor,60,68,84,4,0,24,11,158,G#,3,0
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,18,0,484550.1,4.85E-05,Rock,Major,71,80,65,51,0,22,32,78,G#,3,33
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,42,1,26,0,488104.47,4.88E-05,Hip-Hop,Minor,84,54,51,47,0,12,40,120,C#,3,0
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45,11,20,0,488516.334,4.89E-05,Hip-Hop,Major,70,29,73,12,0,11,26,98,C#,3,21
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,17,0,0,498128.808,4.98E-05,Rock,Major,68,83,81,9,0,8,4,144,D,3,0
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,16,0,9,0,508186.374,5.08E-05,Hip-Hop,Minor,65,24,53,6,0,51,4,83,D#,3,0
California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,36,38,13,0,513356.19,5.13E-05,Hip-Hop,Minor,74,22,67,0,0,11,46,162,F,3,3
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,11,0,2,0,515549.952,5.16E-05,Hip-Hop,Major,88,52,69,0,0,8,23,157,A,3,0
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890,9,0,8,0,517061.34,5.17E-05,Rock,Major,61,66,71,53,0,32,46,123,G#,3,0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,518669.052,5.19E-05,Spanish Hip-Hop,Minor,65,87,74,22,0,42,4,140,F,3,0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,20,1,520641.792,5.21E-05,Hip-Hop,Minor,61,20,48,21,0,12,6,146,B,3,10
Special,SZA,1,2022,12,9,906,0,88092256,6,21,3,0,528553.536,5.29E-05,Hip-Hop,Major,60,19,20,78,0,11,5,76,,3,0
Chance,Paulo Londra,1,2022,4,6,225,0,89566512,11,0,7,0,537399.072,5.37E-05,Hip-Hop,Minor,72,22,46,24,0,9,6,138,C#,3,0
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,40,58,47,8,545038.518,5.45E-05,Spanish Hip-Hop,Minor,82,89,85,4,0,23,6,127,B,3,203
